Household_ID,Average_Daily_Usage_kWh,Peak_Hour_Usage_Percent,Night_Usage_Percent,Weekend_to_Weekday_Ratio,Maximum_Demand_kW,Monthly_Bill_INR,Power_Cut_Complaints_Per_Year
HH-0508,22.54,35.6,39.1,0.78,5.59,2798.0,1
HH-0093,6.88,29.4,18.9,0.87,2.12,894.0,1
HH-0300,12.47,52.3,20.3,1.03,4.86,1627.0,1
HH-0409,11.74,51.8,14.9,1.11,4.39,1746.0,1
HH-0694,31.26,49.3,24.5,1.17,8.51,4652.0,4
HH-0860,36.58,49.3,23.4,1.25,8.11,5307.0,3
HH-0222,6.34,27.3,16.3,1.02,2.15,1193.0,1
HH-0092,7.27,25.6,16.0,1.14,2.63,779.0,3
HH-0240,14.02,46.5,17.1,1.27,4.39,1991.0,1
HH-0324,13.02,54.2,16.7,1.11,3.85,1653.0,1
HH-0011,7.44,29.6,16.8,1.06,1.94,838.0,0
HH-0209,7.23,31.1,18.2,1.11,1.57,1204.0,2
HH-0234,16.29,55.4,8.1,1.22,3.67,2284.0,0
HH-0482,19.4,32.0,38.0,1.02,6.01,3010.0,5
HH-0254,16.25,56.5,11.8,1.02,3.73,2450.0,2
HH-0895,29.45,45.4,27.0,1.21,7.66,4443.0,1
HH-0362,14.71,55.9,14.0,1.14,4.51,2111.0,1
HH-0411,16.06,50.2,14.5,1.16,4.28,2466.0,2
HH-0687,24.58,48.6,23.2,1.21,7.72,4228.0,1
HH-0497,19.86,26.0,43.3,0.94,5.33,2803.0,1
HH-0146,6.43,22.5,18.6,0.98,0.6,926.0,0
HH-0571,22.19,27.0,42.8,0.85,5.7,3038.0,3
HH-0141,6.9,29.9,12.8,1.17,1.96,896.0,2
HH-0816,31.69,49.1,26.4,1.27,8.71,4512.0,2
HH-0859,32.21,49.5,23.0,1.1,8.17,4902.0,4
HH-0341,11.8,53.0,9.0,1.09,4.07,1971.0,2
HH-0380,14.04,53.5,18.4,1.07,4.36,1912.0,2
HH-0697,33.91,46.4,19.3,1.13,8.17,4850.0,1
HH-0600,18.14,29.8,43.3,0.84,5.97,2654.0,4
HH-0387,14.75,52.6,9.9,1.1,4.86,2221.0,2
HH-0309,13.38,51.0,11.9,1.04,4.35,1931.0,2
HH-0453,14.22,54.4,19.0,1.2,3.92,2341.0,1
HH-0325,13.69,53.1,13.0,1.16,4.94,1895.0,1
HH-0303,15.62,53.4,19.1,1.14,4.29,1939.0,1
HH-0494,19.33,38.7,42.4,1.01,5.36,2781.0,3
HH-0305,14.25,50.6,17.6,1.09,4.58,2007.0,1
HH-0511,22.02,29.0,42.9,0.79,5.36,2622.0,3
HH-0734,28.4,45.4,24.5,1.02,9.11,4380.0,1
HH-0065,5.82,25.5,14.6,1.11,1.39,493.0,1
HH-0329,13.4,50.8,11.1,1.05,4.09,1772.0,1
HH-0125,5.79,26.8,19.8,1.16,2.61,989.0,2
HH-0058,6.59,26.0,22.5,1.06,2.61,1102.0,2
HH-0078,6.28,26.1,17.7,1.1,1.8,974.0,2
HH-0470,18.93,29.1,48.3,0.9,6.27,2713.0,3
HH-0674,27.06,49.3,30.0,1.07,8.51,3894.0,2
HH-0709,28.81,51.0,23.2,1.23,8.26,4417.0,0
HH-0763,33.31,48.6,25.5,1.33,7.81,5109.0,5
HH-0715,34.71,52.2,24.1,1.14,8.85,5263.0,4
HH-0239,13.87,50.1,10.9,1.1,4.52,2208.0,1
HH-0577,19.19,22.5,45.5,0.8,5.89,2778.0,3
HH-0110,6.76,19.9,18.4,1.0,2.21,631.0,0
HH-0207,6.11,37.9,18.3,1.02,1.54,350.0,0
HH-0381,12.97,58.4,13.3,1.09,3.15,2012.0,1
HH-0502,19.22,32.3,40.3,0.98,6.38,3086.0,3
HH-0313,12.83,48.6,13.0,1.13,3.84,1771.0,1
HH-0858,24.66,41.9,23.6,1.24,7.37,3946.0,5
HH-0754,28.25,45.0,25.5,1.24,9.14,4490.0,3
